problem_id,category,expected,picked_answer,picked_correct,picked_score,majority_answer,majority_correct,majority_votes,any_correct,correct_count,solutions_with_answer,code_blocks_total,code_blocks_passed
tir_049938,number_theory,first,textfirst,False,3.0,textfirst,False,1,False,0,1,1,1
tir_049939,algebra,"(0,0,0)and(1/2,1/2,1/2)","(0,0,0)textand",False,3.3,"(0,0,0)textand",False,1,False,0,1,1,1
tir_049940,algebra,360,916,False,3.0,916,False,1,False,0,1,1,1
tir_049941,geometry,(frac73),,False,2.0,,False,0,False,0,0,2,2
tir_049942,geometry,(2+2sqrt2+2sqrt3),"textthenon-abeliantensorproductofgroupsisafundamentaltoolinhomologicalalgebrathatconnectsgrouptheory,homology,andlietheory,providingawaytostudythesecondhomologygroup,lieringstructure,andhomotopypropertiesofspaces.",False,1.3,"textthenon-abeliantensorproductofgroupsisafundamentaltoolinhomologicalalgebrathatconnectsgrouptheory,homology,andlietheory,providingawaytostudythesecondhomologygroup,lieringstructure,andhomotopypropertiesofspaces.",False,1,False,0,1,0,0
tir_049943,combinatorics,frac1a_1,frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049944,algebra,(x^3+15x^2-198x+1),x^3-3x^2-10x+1,False,2.0,x^3-3x^2-10x+1,False,1,False,0,1,2,1
tir_049945,other,(-frac300sqrt1717),frac300sqrt17,False,1.3,frac300sqrt17,False,1,False,0,1,0,0
tir_049946,other,(kleq2021),2021,False,1.3,2021,False,1,False,0,1,1,0
tir_049947,number_theory,400,,False,0.0,,False,0,False,0,0,0,0
tir_049948,algebra,"center((1,1)),radius(3)",,False,0.0,,False,0,False,0,0,0,0
tir_049949,other,(frac65),frac52+10sqrt5,False,1.0,frac52+10sqrt5,False,1,False,0,1,0,0
tir_049950,algebra,"a)eccentricity:(2)b)coordinatesofthefoci:((pm4,0))c)equationsofthedirectrices:(x=1)and(x=-1)",,False,0.3,,False,0,False,0,0,0,0
tir_049951,algebra,(x=e^-wleft(-frac12right)),-2wleft(-frac1,False,1.0,-2wleft(-frac1,False,1,False,0,1,0,0
tir_049952,algebra,(frac132(2+cos(2x)-2cos(4x)-cos(6x))),8,False,1.3,8,False,1,False,0,1,0,0
tir_049953,combinatorics,(frac13),frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049954,number_theory,"(1,1)","(a,b)=(1,b)textforanypositiveinteger",False,3.3,"(a,b)=(1,b)textforanypositiveinteger",False,1,False,0,1,1,1
tir_049955,other,sqrt3,sqrt3,True,1.0,sqrt3,True,1,True,1,1,1,0
tir_049956,algebra,"(x=0,pmsqrt52+10sqrt2,pmsqrt52-10sqrt2)",,False,2.0,,False,0,False,0,0,3,3
tir_049957,number_theory,23,,False,2.3,,False,0,False,0,0,1,1
tir_049958,geometry,14,10,False,1.0,10,False,1,False,0,1,0,0
tir_049959,number_theory,(n=50)or(n=51),93,False,-2.4625,93,False,1,False,0,1,0,0
tir_049960,other,13,13,True,3.0,13,True,1,True,1,1,1,1
tir_049961,other,(-frac12),,False,0.0,,False,0,False,0,0,0,0
tir_049962,geometry,1022,1048576,False,1.0,1048576,False,1,False,0,1,0,0
tir_049963,algebra,-9920,-2991.56,False,3.0,-2991.56,False,1,False,0,1,2,2
tir_049964,geometry,(27)cmand(28.5)cm,textproven,False,1.3,textproven,False,1,False,0,1,0,0
tir_049965,other,1013,,False,0.0,,False,0,False,0,0,0,0
tir_049966,geometry,"(x=50,y=100)",50textfeetby,False,3.3,50textfeetby,False,1,False,0,1,1,1
tir_049967,combinatorics,(frac27216),frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049968,algebra,(f(x)=x^2),4,False,1.6714285714285715,4,False,1,False,0,1,2,2
tir_049969,number_theory,(sqrt2+1),sqrt2,False,3.0,sqrt2,False,1,False,0,1,1,1
tir_049970,other,"(a_0textcanbeanyrealnumber,a_1=a_2=cdots=a_n=0).","a_0=0,quada_1=0,quada_2=0,quadldots,quada_n=0",False,1.3,"a_0=0,quada_1=0,quada_2=0,quadldots,quada_n=0",False,1,False,0,1,2,0
tir_049971,other,(fracpi-sqrt3ln23sqrt3),fracpi,False,1.3,fracpi,False,1,False,0,1,0,0
tir_049972,algebra,"((pm4,3),(pm4,5),(pm1,0))",,False,1.3333333333333333,,False,0,False,0,0,3,2
tir_049973,number_theory,6096,2176,False,3.0,2176,False,1,False,0,1,1,1
tir_049974,algebra,(a_n=begincases2a_2-a_1&textifn=3frac(2a_2-a_1)^2a_2&textifn=42left(frac(2a_2-a_1)^2a_2right)-(2a_2-a_1)&textifn=5fracleft(2left(frac(2a_2-a_1)^2a_2right)-(2a_2-a_1)right)^2frac(2a_2-a_1)^2a_2&textifn=6endcases),,False,0.0,,False,0,False,0,0,0,0
tir_049975,geometry,(frac2pitextmiles27textseconds),6+6sqrt3,False,1.3,6+6sqrt3,False,1,False,0,1,0,0
tir_049976,algebra,"((2,3))and((3,2))","(2,3)textand",False,0.725,"(2,3)textand",False,1,False,0,1,2,0
tir_049977,algebra,"(xin-2,2)","-3,3",False,2.65,"-3,3",False,1,False,0,1,1,1
tir_049978,other,(4sqrt5),10,False,3.0,10,False,1,False,0,1,1,1
tir_049979,geometry,"(3,6),(4,4),(6,3)",,False,0.0,,False,0,False,0,0,0,0
tir_049980,other,"vertices=8,edges=12",,False,0.0,,False,0,False,0,0,0,0
tir_049981,algebra,"(x=cosleft(frac1130piright),cosleft(frac1330piright),cosleft(frac2330piright),cosleft(frac2530piright),cosleft(frac5930piright))",0.8089745479041705textand,False,3.0,0.8089745479041705textand,False,1,False,0,1,1,1
tir_049982,algebra,4and-1,-3,False,2.3,-3,False,1,False,0,1,2,1
tir_049983,combinatorics,(frac27),frac1,False,3.0,frac1,False,1,False,0,1,1,1
tir_049984,algebra,-4,-4,True,3.3,-4,True,1,True,1,1,1,1
tir_049985,algebra,infinite,0,False,1.3,0,False,1,False,0,1,2,0
tir_049986,algebra,"((-infty,16])","(-infty,16]",False,3.3,"(-infty,16]",False,1,False,0,1,1,1
tir_049987,other,(frac7161989),frac8,False,3.0,frac8,False,1,False,0,1,2,2
tir_049988,algebra,(p(x)=ccdotx^k),p(x)=axtextwhere,False,1.3,p(x)=axtextwhere,False,1,False,0,1,0,0
tir_049989,algebra,"((-1,2),(-1,-2),(-2,0))",textroots:,False,-4.976923076923077,textroots:,False,1,False,0,1,0,0
tir_049990,algebra,"(1,frac13,3)","left(3,frac1",False,3.3,"left(3,frac1",False,1,False,0,1,1,1
tir_049991,other,"kernel=(i,2i),image=(s_4)",,False,0.0,,False,0,False,0,0,0,0
tir_049992,combinatorics,337,2,False,3.0,2,False,1,False,0,1,1,1
tir_049993,geometry,(30^circ),6,False,1.0,6,False,1,False,0,1,0,0
tir_049994,algebra,(sqrt26),sqrt10,False,3.0,sqrt10,False,1,False,0,1,1,1
tir_049995,other,(x=-1)or(x=1),"1,-1",False,2.225,"1,-1",False,1,False,0,1,1,1
tir_049996,combinatorics,(frac1733),frac47,False,3.0,frac47,False,1,False,0,1,1,1
tir_049997,algebra,"(f(x)=fracba^2-1x)for(|a|neq1),andspecificconditionsfor(a=1)and(a=-1).",f(x)=fracbx,False,3.3,f(x)=fracbx,False,1,False,0,1,1,1
tir_049998,other,0and(frac265),frac8,False,3.3,frac8,False,1,False,0,1,1,1
tir_049999,other,-(frac56),-frac1,False,3.0,-frac1,False,1,False,0,1,1,1
tir_050000,number_theory,602,,False,0.0,,False,0,False,0,0,0,0
